rank,mp_index,battery_formula,formula_discharge,framework_formula,preliminary_family,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_charge,stability_discharge,mp_preliminary_score,final_decision_support_score,conservative_earth_abundant_candidate,cde_exact_formula_match,cde_total_doi_count,cde_capacity_median,cde_voltage_median,cde_energy_median
1,11,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,2.746,243.812,669.409,0.076,0.014,0.0,0.814,0.857,True,True,2166.0,312.0,2.26,432.617
2,0,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,phosphate_or_NASICON_like,3.865,249.447,964.105,0.287,0.035,0.0,0.91,0.826,True,True,38.0,113.0,4.5,511.01
3,1,Na0-2MnP2O7,Na2MnP2O7,MnP2O7,phosphate_or_NASICON_like,4.059,195.019,791.537,0.123,0.073,0.0,0.895,0.81,True,True,28.0,83.7,3.5,300.0
4,3,Na1-3MnPCO7,Na3MnPCO7,MnPCO7,phosphate_or_NASICON_like,3.37,192.203,647.638,0.073,0.0,0.0,0.877,0.798,True,True,28.0,125.0,4.4,467.481
5,27,Na0-0.5MnO2,NaMn2O4,MnO2,transition_metal_oxide_like,3.184,136.142,433.419,0.137,0.025,0.0,0.714,0.791,True,True,2092.0,283.5,3.1,401.788
6,22,Na0-1FePO4,NaFePO4,FePO4,phosphate_or_NASICON_like,3.072,154.203,473.778,0.17,0.03,0.0,0.735,0.776,True,True,616.0,119.91,3.178,374.496
7,13,Na0-1MnPO4,NaMnPO4,MnPO4,phosphate_or_NASICON_like,3.387,155.012,525.038,0.174,0.003,0.0,0.805,0.751,True,True,28.0,107.462,3.6,185.55
8,7,Na1-3FePCO7,Na3FePCO7,FePCO7,phosphate_or_NASICON_like,3.444,191.58,659.781,0.011,0.041,0.0,0.853,0.75,True,True,6.0,96.0,4.4,405.12
9,26,Na0-0.67MnPO4,Na2Mn3(PO4)3,MnPO4,phosphate_or_NASICON_like,3.673,108.134,397.174,0.078,0.025,0.0,0.716,0.69,True,True,24.0,97.425,4.0,185.55
10,8,Na0-1CuPO4,NaCuPO4,CuPO4,phosphate_or_NASICON_like,3.828,147.661,565.22,0.119,0.005,0.027,0.835,0.668,True,True,2.0,,3.6,
11,46,Na0.33-0.67FePO4,Na2Fe3(PO4)3,FePO4,phosphate_or_NASICON_like,3.751,53.772,201.712,0.04,0.055,0.009,0.568,0.645,True,True,228.0,91.5,3.0,120.0
12,37,Na0-3Ti2(PO4)3,Na3Ti2(PO4)3,Ti2(PO4)3,phosphate_or_NASICON_like,2.306,178.829,412.382,0.117,0.013,0.057,0.649,0.627,True,True,10.0,130.0,1.7,
13,2,Na0-2MnCSO7,Na2MnCSO7,MnCSO7,sulfate_like,4.101,208.581,855.363,0.213,0.087,0.037,0.894,0.681,True,False,,,,
14,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,phosphate_or_NASICON_like,3.957,219.431,868.19,0.037,0.096,0.019,0.874,0.668,True,False,,,,
15,5,Na0-2FeCSO7,Na2FeCSO7,FeCSO7,sulfate_like,3.893,207.847,809.067,0.129,0.089,0.036,0.872,0.667,True,False,,,,
16,6,Na2-6Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,sulfate_like,3.904,183.031,714.568,0.034,0.083,0.0,0.857,0.657,True,False,,,,
17,9,Na0-6Mn3(PO4)4,Na6Mn3(PO4)4,Mn3(PO4)4,phosphate_or_NASICON_like,3.47,235.57,817.398,0.14,0.095,0.086,0.826,0.637,True,False,,,,
18,10,Na1-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,phosphate_or_NASICON_like,3.612,150.349,543.0,0.057,0.019,0.004,0.816,0.63,True,False,,,,
19,16,Na0-6Cu9(PO4)8,Na6Cu9(PO4)8,Cu9(PO4)8,phosphate_or_NASICON_like,4.017,109.422,439.53,0.07,0.013,0.004,0.775,0.604,True,False,,,,
20,17,Na0-8Fe7(PO4)8,Na8Fe7(PO4)8,Fe7(PO4)8,phosphate_or_NASICON_like,3.418,160.656,549.048,0.114,0.09,0.061,0.758,0.593,True,False,,,,
