rank,mp_index,battery_formula,formula_discharge,framework_formula,preliminary_family,average_voltage,capacity_grav,energy_grav,conservative_earth_abundant_candidate,cde_exact_formula_match,cde_total_doi_count,electrolyte_window_flag,provenance_status
1,11,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,2.746,243.812,669.409,True,True,2166.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
2,0,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,phosphate_or_NASICON_like,3.865,249.447,964.105,True,True,38.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
3,1,Na0-2MnP2O7,Na2MnP2O7,MnP2O7,phosphate_or_NASICON_like,4.059,195.019,791.537,True,True,28.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
4,3,Na1-3MnPCO7,Na3MnPCO7,MnPCO7,phosphate_or_NASICON_like,3.37,192.203,647.638,True,True,28.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
5,27,Na0-0.5MnO2,NaMn2O4,MnO2,transition_metal_oxide_like,3.184,136.142,433.419,True,True,2092.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
6,22,Na0-1FePO4,NaFePO4,FePO4,phosphate_or_NASICON_like,3.072,154.203,473.778,True,True,616.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
7,13,Na0-1MnPO4,NaMnPO4,MnPO4,phosphate_or_NASICON_like,3.387,155.012,525.038,True,True,28.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
8,7,Na1-3FePCO7,Na3FePCO7,FePCO7,phosphate_or_NASICON_like,3.444,191.58,659.781,True,True,6.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
9,26,Na0-0.67MnPO4,Na2Mn3(PO4)3,MnPO4,phosphate_or_NASICON_like,3.673,108.134,397.174,True,True,24.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
10,8,Na0-1CuPO4,NaCuPO4,CuPO4,phosphate_or_NASICON_like,3.828,147.661,565.22,True,True,2.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
11,46,Na0.33-0.67FePO4,Na2Fe3(PO4)3,FePO4,phosphate_or_NASICON_like,3.751,53.772,201.712,True,True,228.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
12,37,Na0-3Ti2(PO4)3,Na3Ti2(PO4)3,Ti2(PO4)3,phosphate_or_NASICON_like,2.306,178.829,412.382,True,True,10.0,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
13,2,Na0-2MnCSO7,Na2MnCSO7,MnCSO7,sulfate_like,4.101,208.581,855.363,True,False,,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
14,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,phosphate_or_NASICON_like,3.957,219.431,868.19,True,False,,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
15,5,Na0-2FeCSO7,Na2FeCSO7,FeCSO7,sulfate_like,3.893,207.847,809.067,True,False,,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
16,6,Na2-6Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,sulfate_like,3.904,183.031,714.568,True,False,,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
17,9,Na0-6Mn3(PO4)4,Na6Mn3(PO4)4,Mn3(PO4)4,phosphate_or_NASICON_like,3.47,235.57,817.398,True,False,,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
18,10,Na1-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,phosphate_or_NASICON_like,3.612,150.349,543.0,True,False,,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
19,16,Na0-6Cu9(PO4)8,Na6Cu9(PO4)8,Cu9(PO4)8,phosphate_or_NASICON_like,4.017,109.422,439.53,True,False,,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
20,17,Na0-8Fe7(PO4)8,Na8Fe7(PO4)8,Fe7(PO4)8,phosphate_or_NASICON_like,3.418,160.656,549.048,True,False,,no_high_voltage_flag,Automated exact formula-level CDE evidence fields are provided; no claim of experimental validation is made.
